Cog Sci,,
Course Code,Class Name,Units
Preparatory Subject Matter,,
CGS 001,Introduction to Cognitive Science,4
ECS 020,Discrete Mathematics For Computer Science,4
Choose a series:,,12
ECS 032A,Introduction to Programming,4
ECS 036A,Programming & Problem Solving,4
Choose done,,
LIN 001,Introduction to Linguistics,4
Choose a series:,,12
MAT 017A,Calculus for Biology & Medicine,4
MAT 021A,Calculus,4
Choose done,,
MAT 022A,Linear Algebra,3
PHI 012,Introduction to Symbolic Logic,4
PHI 013G,"Minds, Brains, & Computers with Discussion",4
PSC 001,General Psychology,4
PSC 041,Research Methods in Psychology,4
STA 013,Elementary Statistics,4
Depth Subject Matter,,
PSC 100,Introduction to Cognitive Psychology,4
PHI 112,Intermediate Symbolic Logic,4
CGS Topical Course: one upper division CGS course,,4
Choose three from Group B:,,12
ECS 120,Theory of Computation,4
ECS 170,Introduction to Artificial Intelligence,4
ECS 171,Machine Learning,4
LIN 177,Computational Linguistics,4
PHI 133,"Logic, Probability, & Artificial Intelligence",4
Choose done,,
Choose one from Group C:,,4
CGS 107,Neuroeconomics/Reinforcement Learning & Decision Making,4
LIN 175,Biological Basis of Language,4
PSC 101,Introduction to Biological Psychology,4
PSC 135,Cognitive Neuroscience: The Biological Foundations of the Mind,4
PSC 139,Advanced Cognitive Neuroscience,4
PSC 145,Developmental Cognitive Neuroscience,4
Choose done,,
Choose one from Group D or E:,,4
PHI 103,Philosophy on Mind,4
PHI 104,The Evolution of Mind,4
PHI 129,Knowledge & the A Priori,4
PHI 136,Formal Epistemology,4
LIN 103A,"Linguistic Analysis I: Phonetics, Phonology, Morphology",4
LIN 103B,"Linguistic Analysis II: Morphology, Syntax, Semantics",4
LIN 150,Languages of the World,4
LIN 182,Multilingualism,4
Choose done,,
Choose four from Group F (which do not overlap with the Group C course):,,15-18
PSC 101,Introduction to Biological Psychology,4
PSC 103A,Statistical Analysis of Psychological Data,5
PSC 103B,Statistical Analysis of Psychological Data,5
PSC 113,Developmental Psychobiology,4
PSC 121,Physiological Psychology,4
PSC 124,Comparative Neuroanatomy,3
PSC 130,Human Learning & Memory,4
PSC 131,Perception,4
PSC 135,Cognitive Neuroscience: The Biological Foundations of the Mind,4
PSC 136,Psychology of Music,4
PSC 137,Neurobiology of Learning & Memory,4
PSC 140,Developmental Psychology,4
PSC 141,Cognitive Development,4
Choose done,,
Total Units,,107-110
