Cog Sci,,
Course Code,Class Name,Units
CGS 001,Introduction to Cognitive Science,4
ECS 020,Discrete Mathematics For Computer Science,4
ECS 032A,Introduction to Programming,4
ECS 036A,Programming & Problem Solving,4
LIN 001,Introduction to Linguistics,4
LIN 001Y,Introduction to Linguistics,4
MAT 017A,Calculus for Biology & Medicine,4
MAT 021A,Calculus,4
MAT 022A,Linear Algebra,3
MAT 027A,Linear Algebra with Applications to Biology,4
PHI 012,Introduction to Symbolic Logic,4
PHI 013G,Minds; Brains; & Computers with Discussion,4
PSC 001,General Psychology,4
PSC 001Y,General Psychology,4
PSC 041,Research Methods in Psychology,4
STA 013,Elementary Statistics,4
STA 013Y,Elementary Statistics,4
STA 100,Applied Statistics for Biological Sciences,4
PSC 100,Introduction to Cognitive Psychology,4
PSC 100Y,Introduction to Cognitive Psychology,4
PHI 112,Intermediate Symbolic Logic,4
ECS 120,Theory of Computation,4
ECS 170,Introduction to Artificial Intelligence,4
ECS 171,Machine Learning,4
LIN 177,Computational Linguistics,4
PHI 133,Logic; Probability; & Artificial Intelligence,4
CGS 107,Neuroeconomics/Reinforcement Learning & Decision Making,4
LIN 175,Biological Basis of Language,4
PSC 101,Introduction to Biological Psychology,4
PSC 135,Cognitive Neuroscience: The Biological Foundations of the Mind,4
PSC 139,Advanced Cognitive Neuroscience,4
PSC 145,Developmental Cognitive Neuroscience,4
PHI 103,Philosophy on Mind,4
PHI 104,The Evolution of Mind,4
PHI 129,Knowledge & the A Priori,4
PHI 136,Formal Epistemology,4
LIN 103A,Linguistic Analysis I: Phonetics; Phonology; Morphology,4
LIN 103B,Linguistic Analysis II: Morphology; Syntax; Semantics,4
LIN 150,Languages of the World,4
LIN 182,Multilingualism,4
PSC 101,Introduction to Biological Psychology,4
PSC 103A,Statistical Analysis of Psychological Data,5
PSC 103B,Statistical Analysis of Psychological Data,5
PSC 113,Developmental Psychobiology,4
PSC 121,Physiological Psychology,4
PSC 124,Comparative Neuroanatomy,3
PSC 130,Human Learning & Memory,4
PSC 131,Perception,4
PSC 135,Cognitive Neuroscience: The Biological Foundations of the Mind,4
PSC 136,Psychology of Music,4
PSC 137,Neurobiology of Learning & Memory,4
PSC 140,Developmental Psychology,4
PSC 140Y,Developmental Psychology,4
PSC 141,Cognitive Development,4
