Ling,,
Course Code,Class Name,Units
Preparatory Subject Matter,,
LIN 001,Introduction to Linguistics,4
Depth Subject Matter,,
LIN 103A,"Linguistic Analysis I: Phonetics, Phonology, Morphology",4
LIN 103B,"Linguistic Analysis II: Morphology, Syntax, Semantics",4
LIN 111,Introduction to Phonological Theory,4
LIN 131,Introduction to Syntactic Theory,4
Choose three:,,12
LIN 111,Introduction to Phonological Theory,4
LIN 112,Phonetics,4
LIN 121,Morphology,4
LIN 127,Text Processing & Corpus Linguistics,4
LIN 131,Introduction to Syntactic Theory,4
LIN 141,Semantics,4
LIN 150,Languages of the World,4
LIN 151,Historical Linguistics,4
LIN 152,Language Universals & Typology,4
Choose done,,
Choose one:,,4
LIN 160,American Voices,4
LIN 163,"Language, Gender, & Society",4
LIN 165,Introduction to Applied Linguistics,4
LIN 166,The Spanish Language in the United States,4
Choose done,,
Choose one:,,4
LIN 171,Introduction to Psycholinguistics,4
LIN 173,Language Development,4
LIN 175,Biological Basis of Language,4
LIN 177,Computational Linguistics,4
LIN 180,Second Language Learning & Teaching,4
LIN 182,Multilingualism,4
Choose done,,
Choose at least 8 upper division units:,,8
Any LIN upper divsion course not used to fulfill area above or one of the approved courses below.,,4
AAS 156,Language & Identity in Africa & the African Diaspora,4
ANT 117,The Ethnographic & Literary Imagination,4
ANT 120,Language & Culture,4
EDU 151,History & Approaches to Multilingualism in K-12 Contexts,3
ENL 105,History of the English Language,4
ENL 106,English Grammar,4
FRE 109,French Phonetics,4
FRE 160,Linguistic Study of French-Language in Context,4
FRE 161,Linguistic Study of French: Form & Meaning,4
FRE 162,History of the French Language,4
GER 105,The Modern German Language,4
HDE 101,Cognitive Development,4
JPN 151,Japanese Linguistics,4
NAS 107,Learning Native American Languages,4
PHI 137A,Philosophy of Language: Theory of Reference,4
PHI 137B,Philosophy of Language: Truth & Meaning,4
PHI 137C,Philosophy of Language: Semantics & Pragmatics,4
PHI 156,Contemporary Analytic Philosophy,4
PSC 132,Language & Cognition,4
SPA 111N,The Structure of Spanish: Sounds & Words,3
SPA 112N,The Structure of Spanish: Words & Phrases,3
SPA 113,Spanish Pronunciation,4
SPA 114N,Contrastive Analysis of English & Spanish,4
SPA 115,History of the Spanish Language,4
SPA 115S,History of the Spanish Language,4
SPA 116,Applied Spanish Linguistics,4
SPA 117,Teaching Spanish as a Native Tongue in the U.S.: Praxis & Theory,4
SPA 118,Topics in Spanish Linguistics,4
Choose done,,
Total Units,,48-68
